depth_feet,proportion_area
0,1
10,0.82256
20,0.65589
30,0.52904
40,0.41227
50,0.3054
60,0.22408
70,0.13621
80,0.08313
90,0.0591
100,0.0337
110,0.01887
120,0.00663
130,0.00106
