depth_feet,proportion_area
0,1
5,0.82331
10,0.70012
15,0.58711
20,0.47949
25,0.34197
30,0.23882
35,0.14477
40,0.0774
45,0.04024
50,0.02066
55,0.00678
60,0.00093
